ListenerID,RecordedDate,inUS,english,famSLHDs,SLHDconnection,SLHDconnection_other,age,gender,gender_other,race,race_other,ethnicity,AudioCheck,AudioTroubleshoot,P1,P2,P3,Understood?,EP1,EP2,EP3,SpeakerID,Int_VAS,Int_OT
N103,2022-01-05 15:27:49,Yes,"Yes, it is my native language",No,"","",26,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar ,Which is a gigantic rollercoaster high above the ground ,When I saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",PDF6,98.87,99.1525423728814
N103,2022-01-05 15:27:49,Yes,"Yes, it is my native language",No,"","",26,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar ,Which is a gigantic rollercoaster high above the ground ,When I saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",HDF6,21.41,19.3798449612403
N104,2022-01-05 15:27:56,Yes,"Yes, it is my native language",No,"","",37,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic roller coaster high above the ground.,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDM3,9.58,41.4634146341463
N104,2022-01-05 15:27:56,Yes,"Yes, it is my native language",No,"","",37,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic roller coaster high above the ground.,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDF7,14.51,43.8461538461539
N105,2022-01-05 15:28:12,Yes,"Yes, it is my native language",No,"","",40,Man,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was writing on a caterpillar ,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM8,55.63,44.53125
N105,2022-01-05 15:28:12,Yes,"Yes, it is my native language",No,"","",40,Man,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was writing on a caterpillar ,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSM7,20,20.5128205128205
N106,2022-01-05 15:28:15,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",29,Man,"",Biracial or Multiracial,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic roller coaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",PDF6,86.62,73.728813559322
N106,2022-01-05 15:28:15,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",29,Man,"",Biracial or Multiracial,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic roller coaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",ALSM7,1.41,3.07692307692308
N107,2022-01-05 15:28:15,Yes,"Yes, it is my native language",No,"","",28,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar,Which is a gigantic roller coaster high above the ground,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDF7,10.85,16.9230769230769
N107,2022-01-05 15:28:15,Yes,"Yes, it is my native language",No,"","",28,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar,Which is a gigantic roller coaster high above the ground,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF6,89.44,85.5932203389831
N108,2022-01-05 15:28:22,Yes,"Yes, it is my native language",No,"","",36,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDF7,16.9,29.6610169491525
N108,2022-01-05 15:28:22,Yes,"Yes, it is my native language",No,"","",36,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDM8,86.76,64.6153846153846
N109,2022-01-05 15:28:36,Yes,"Yes, it is my second language",Yes,Other,none,22,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM8,31.27,64.0625
N109,2022-01-05 15:28:36,Yes,"Yes, it is my second language",Yes,Other,none,22,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AF2,25.07,63.2478632478633
N11,2021-06-26 13:52:21,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",25,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",ALSF6,23.66,37.6068376068376
N11,2021-06-26 13:52:21,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",25,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",PDM10,74.79,85.3846153846154
N110,2022-01-05 15:28:37,Yes,"Yes, it is my native language",No,"","",20,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AF7,73.52,70.940170940171
N110,2022-01-05 15:28:37,Yes,"Yes, it is my native language",No,"","",20,Woman,"",White/Caucasian,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM4,65.35,75.3846153846154
N111,2022-01-05 15:28:39,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM4,67.18,87.1794871794872
N111,2022-01-05 15:28:39,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDM12,61.13,82.089552238806
N112,2022-01-05 15:28:47,Yes,"Yes, it is my native language",No,"","",31,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My memorable moment was riding on the caterpillar. ,Which is gigantic rollercoaster above the ground,When I saw the caterpillar rose ,"Yes, I am ready to begin.","","","",PDF1,20.99,78.6324786324786
N112,2022-01-05 15:28:47,Yes,"Yes, it is my native language",No,"","",31,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My memorable moment was riding on the caterpillar. ,Which is gigantic rollercoaster above the ground,When I saw the caterpillar rose ,"Yes, I am ready to begin.","","","",ALSF5,0,10
N113,2022-01-05 15:29:36,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose...,"Yes, I am ready to begin.","","","",PDM15,76.76,59.349593495935
N113,2022-01-05 15:29:36,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground.,When I saw how high the caterpillar rose...,"Yes, I am ready to begin.","","","",HDF2,98.31,95.4198473282443
N114,2022-01-05 15:30:09,Yes,"Yes, it is my native language",Yes,Other,I have learned about these disorders in my course of work and studies,26,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar ,Which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM8,45.63,62.5
N114,2022-01-05 15:30:09,Yes,"Yes, it is my native language",Yes,Other,I have learned about these disorders in my course of work and studies,26,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar ,Which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSF8,45.49,70.0854700854701
N115,2022-01-05 15:30:10,Yes,"Yes, it is my native language",No,"","",26,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground.,when I saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",AF2,29.44,47.8632478632479
N115,2022-01-05 15:30:10,Yes,"Yes, it is my native language",No,"","",26,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground.,when I saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",ALSF5,0,3.84615384615385
N116,2022-01-05 15:30:27,Yes,"Yes, it is my native language",No,"","",62,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a giantic rollercoaster high above the ground.,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSM8,83.66,66.412213740458
N116,2022-01-05 15:30:27,Yes,"Yes, it is my native language",No,"","",62,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a giantic rollercoaster high above the ground.,When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSM7,26.76,19.6581196581197
N117,2022-01-05 15:30:39,Yes,"Yes, it is my native language",No,"","",21,Woman,"",Prefer not to say,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the catepillar. ,which is a gigantic rollercoaster high above the ground.,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF2,0,7.69230769230769
N117,2022-01-05 15:30:39,Yes,"Yes, it is my native language",No,"","",21,Woman,"",Prefer not to say,"",Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the catepillar. ,which is a gigantic rollercoaster high above the ground.,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDM15,79.58,66.6666666666667
N118,2022-01-05 15:30:55,Yes,"Yes, it is my native language",Yes,Other,"",32,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF6,93.94,93.2203389830508
N118,2022-01-05 15:30:55,Yes,"Yes, it is my native language",Yes,Other,"",32,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF1,98.45,92.436974789916
N119,2022-01-05 15:31:23,Yes,"Yes, it is my native language",No,"","",60,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic roller-coaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDM12,62.68,91.4529914529915
N119,2022-01-05 15:31:23,Yes,"Yes, it is my native language",No,"","",60,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic roller-coaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AF8,55.35,90
N12,2021-06-26 13:59:54,Yes,"Yes, it is my native language",No,"","",23,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable memory was riding on the caterpillar ,"which is a gigantic rollercoaster, high above the ground",when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSF6,0,0
N12,2021-06-26 13:59:54,Yes,"Yes, it is my native language",No,"","",23,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable memory was riding on the caterpillar ,"which is a gigantic rollercoaster, high above the ground",when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF5,44.51,58.974358974359
N120,2022-01-05 15:31:29,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",22,Woman,"",Biracial or Multiracial,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic rollercoaster high above the ground,"When I saw how high the caterpillar rose
","Yes, I am ready to begin.","","","",AF2,76.76,82.9059829059829
N120,2022-01-05 15:31:29,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",22,Woman,"",Biracial or Multiracial,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic rollercoaster high above the ground,"When I saw how high the caterpillar rose
","Yes, I am ready to begin.","","","",HDF7,9.86,27.6923076923077
N121,2022-01-05 15:32:14,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",29,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground,when i saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",ALSF8,57.18,63.3587786259542
N121,2022-01-05 15:32:14,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",29,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground,when i saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",PDF6,71.55,84.7457627118644
N122,2022-01-05 15:32:30,Yes,"Yes, it is my native language",No,"","",20,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpiller,which is a gigantic roller coaster high above the ground,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM4,76.34,79.2307692307692
N122,2022-01-05 15:32:30,Yes,"Yes, it is my native language",No,"","",20,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpiller,which is a gigantic roller coaster high above the ground,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDF2,95.77,81.5126050420168
N123,2022-01-05 15:32:39,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",41,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the catapiller.,Which is a gigantic rollercoaster high above the ground.,When i saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",ALSF8,45.35,57.2519083969466
N123,2022-01-05 15:32:39,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",41,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the catapiller.,Which is a gigantic rollercoaster high above the ground.,When i saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",HDM12,66.34,78.6324786324786
N124,2022-01-05 15:33:13,Yes,"Yes, it is my native language",No,"","",58,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground ,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",AM8,84.65,76.0683760683761
N124,2022-01-05 15:33:13,Yes,"Yes, it is my native language",No,"","",58,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar ,which is a gigantic roller coaster high above the ground ,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF1,93.66,94.1176470588235
N125,2022-01-05 15:33:34,Yes,"Yes, it is my native language",Yes,Other,"",25,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic roller coaster high above the ground,when I saw how high the Caterpillar rose,"Yes, I am ready to begin.","","","",PDF1,80.14,87.1794871794872
N125,2022-01-05 15:33:34,Yes,"Yes, it is my native language",Yes,Other,"",25,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic roller coaster high above the ground,when I saw how high the Caterpillar rose,"Yes, I am ready to begin.","","","",PDM15,38.17,49.6350364963504
N126,2022-01-05 15:34:34,Yes,"Yes, it is my native language",No,"","",20,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF1,93.24,91.5966386554622
N126,2022-01-05 15:34:34,Yes,"Yes, it is my native language",No,"","",20,Woman,"",Asian American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar.,Which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSM6,25.35,60.1694915254237
N127,2022-01-05 15:35:04,Yes,"Yes, it is my native language",Yes,I am currently an undergraduate or graduate student in a communication science and disorders program,"",21,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar ,"Which is a gigantic rollercoaster, high above the ground",When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF1,95.77,94.017094017094
N127,2022-01-05 15:35:04,Yes,"Yes, it is my native language",Yes,I am currently an undergraduate or graduate student in a communication science and disorders program,"",21,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar ,"Which is a gigantic rollercoaster, high above the ground",When I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSM7,8.45,13.0769230769231
N128,2022-01-05 15:35:05,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",42,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,Which is a gigantic roller coaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",PDF6,96.76,92.3728813559322
N128,2022-01-05 15:35:05,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",42,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,Which is a gigantic roller coaster high above the ground.,When I saw how high the caterpillar rose.,"Yes, I am ready to begin.","","","",AF2,73.24,63.4920634920635
N129,2022-01-05 15:36:03,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",HDF6,9.72,14.5299145299145
N129,2022-01-05 15:36:03,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,which is a gigantic rollercoaster high above the ground,when I saw how high the caterpillar rose ,"Yes, I am ready to begin.","","","",AM8,86.06,64.0625
N13,2021-06-26 14:02:33,Yes,"Yes, it is my native language",No,"","",32,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDF7,74.93,86.1538461538462
N13,2021-06-26 14:02:33,Yes,"Yes, it is my native language",No,"","",32,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground,when i saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",PDM9,72.25,82.9059829059829
N130,2022-01-05 15:36:17,Yes,"Yes, it is my native language",No,"","",58,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorble riding on the caterpiller,which is large rollercoaster,when I saw how high the caterpiller ro,"Yes, I am ready to begin.","","","",AF7,59.44,44.6153846153846
N130,2022-01-05 15:36:17,Yes,"Yes, it is my native language",No,"","",58,Woman,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",My most memorble riding on the caterpiller,which is large rollercoaster,when I saw how high the caterpiller ro,"Yes, I am ready to begin.","","","",PDF6,86.34,74.5762711864407
N131,2022-01-05 15:36:32,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Prefer not to say,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,Which is a gigantic rollercoaster high above the ground. ,"When I saw how high the caterpillar rose, ","Yes, I am ready to begin.","","","",PDM15,76.48,65.0406504065041
N131,2022-01-05 15:36:32,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",21,Woman,"",White/Caucasian,"",Prefer not to say,"Yes, I can hear the audio.","",My most memorable moment was riding on the caterpillar. ,Which is a gigantic rollercoaster high above the ground. ,"When I saw how high the caterpillar rose, ","Yes, I am ready to begin.","","","",PDF6,90.99,83.0769230769231
N132,2022-01-05 15:38:01,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",46,Woman,"",Black/African American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground.,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",HDM12,80.14,90.2985074626866
N132,2022-01-05 15:38:01,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",46,Woman,"",Black/African American,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",my most memorable moment was riding on the caterpillar,which is a gigantic rollercoaster high above the ground.,when I saw how high the caterpillar rose,"Yes, I am ready to begin.","","","",ALSF8,23.66,69.2307692307692
N133,2022-01-05 15:38:49,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",57,Man,"",White/Caucasian,"",Not Hispanic/Latino,"Yes, I can hear the audio.","",MY MOST MEMORABLE MOMENT,WHICH IS A GIGANTIC ROLLER COASTER HIGH ABOVE THE GROUND,WHEN I SAW HOW HIGH THE CATERPILLAR ROSE,"Yes, I am ready to begin.","","","",AF8,82.25,55.3846153846154
